Name,Type,Size,Scale,Source,Description
PhotoUrls_4,String,255,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
PhotoUrls_5,String,255,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
PhotoUrls_6,String,255,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
PhotoUrls_7,String,255,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
PhotoUrls_8,String,255,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
PhotoUrls_9,String,255,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
PictureHref,String,255,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
PriceDisplay,String,50,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
PropertyId,String,20,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
PropertyType,String,20,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
Region,V_String,50,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
RegionId,Byte,1,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
ReserveState,Byte,1,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
StartDate,String,21,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
StartPrice,Int32,4,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
Suburb,V_String,50,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
SuburbId,Int16,2,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
Title,V_String,100,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
job_run_datetime,String,26,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
Agency_Agents_0_EMail,V_String,50,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
Agency_IsJobAgency,Bool,1,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
Area,Double,8,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
IsBoosted,Bool,1,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
LandArea,Double,8,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
OpenHomes_0_End,String,21,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
OpenHomes_0_Start,String,21,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
OpenHomes_1_End,String,21,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
OpenHomes_1_Start,String,21,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
OpenHomes_2_End,String,21,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
OpenHomes_2_Start,String,21,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
OpenHomes_3_End,String,21,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
OpenHomes_3_Start,String,21,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
OpenHomes_4_End,String,21,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
OpenHomes_4_Start,String,21,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
OpenHomes_5_End,String,21,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
OpenHomes_5_Start,String,21,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
OpenHomes_6_End,String,21,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
OpenHomes_6_Start,String,21,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
OpenHomes_7_End,String,21,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
OpenHomes_7_Start,String,21,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
RateableValue,Double,8,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
ViewingInstructions,V_String,255,,File: C:\XY\1\Projects\TrademeDataExtraction\residential.csv,""
